name,aalload,aalqual,aaldupe,aalpending,aaldrop,hslload,hsldupe,hsldrop,lawload,lawdupe,lawdrop,773title,506access,note
SAGE Reference Online 2010 Encyclopedia Collection,,,7/1/2011,,,,,,,,,,,
SAGE Reference Online 2011 Encyclopedia Collection,,,7/1/2011,,,,,,,,,,,
SAGE Reference Online Deep Backlist Collection,,,5/1/2012,,,,,,,,,,,
Science Database;;;ProQuest Science Journals,5/1/2015,,,,,,,,,,,ProQuest science journals (online collection). Ebooks,Unlimited simultaneous users,
Science In Context,,2/1/2015,,,,,,,,,,,,
ScienceDirect eBooks,,,4/1/2015,,,,,,,,,,,
ScienceDirect Engineering eBook Collection 2013,,,11/1/2013,,,,,,,,,,,
ScienceDirect Enzymology Book Series,,,,,,6/1/2010,,,,,,ScienceDirect Enzymology Book Series (online collection),Unlimited simultaneous users,
ScienceDirect Physics and Astronomy eBook Collection 2014,,,4/1/2015,,,,,,,,,,,
ScienceDirect Reference Works,,,2/1/2011,,,,,,,,,,,
Scottish Women Poets of the Romantic Period,,,10/1/2010,,,,,,,,,,,
Social Science Database;;;ProQuest Social Science Journals,5/1/2015,,,,,,,,,,,ProQuest social science journals (online collection). Ebooks,Unlimited simultaneous users,
Sociology Database;;;ProQuest Sociology,5/1/2015,,,,,,,,,,,ProQuest sociology (online collection). Ebooks,Unlimited simultaneous users,
SPIE Conference Proceedings by volume,2/1/2011,,,,,,,,,,,SPIE conference proceedings by volume (online collection),Unlimited simultaneous users,
SPORTDiscus with Full Text,,,,,,6/1/2010,,,,,,SPORTDiscus with Full Text (online collection). Ebooks,Unlimited simultaneous users,
Springer Protocols,,,,,,9/1/2010,,,,,,Springer Protocols (online collection). Ebooks,Unlimited simultaneous users,
SpringerLINK ebooks - Behavioral Science (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Biomedical and Life Sciences (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Business and Economics (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Chemistry and Materials Science (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Computer Science (2014),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Computer Science (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Earth and Environmental Science (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Energy (2014),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Energy (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Engineering (2014),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Engineering (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2005),,,7/1/2012,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2006),,,7/1/2012,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2007),,,7/1/2012,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2008);;;SpringerLINK eBooks English International Collection 2008,,,6/1/2010,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2009);;;SpringerLINK eBooks English International Collection 2009,,,6/1/2010,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2010);;;SpringerLINK eBooks English International Collection 2010,,,6/1/2010,,,,,,,,,,,
SpringerLINK eBooks - English/International Collection (2012),,,5/1/2012,,,,,,,,,,,
SpringerLINK ebooks - English/International Collection (2014),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - English/International Collection (2015),,,3/1/2015,,,,,,,,,,,
"SpringerLINK ebooks - Humanities, Social Sciences and Law (2015)",,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Mathematics and Statistics (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Medicine (2014);;;SpringerLink ebooks - Medicine (2008);;;SpringerLink ebooks - Medicine (2009);;;SpringerLink ebooks - Medicine (2010);;;SpringerLink ebooks - Medicine (2011);;;SpringerLink ebooks - Medicine (2012);;;SpringerLink ebooks - Medicine (2013);;;SpringerLink ebooks - Medicine (2014);;;SpringerLink ebooks - Medicine (2015);;;SpringerLink ebooks - Medicine (2016);;;SpringerLink ebooks - Medicine;;;SpringerLink ebooks - Medicine (2005-present);;;SpringerLink ebooks - Medicine (Contemporary),,,,,,6/1/2010,,,,,,SpringerLink ebooks - Medicine (Contemporary) (online collection),Unlimited simultaneous users,
SpringerLINK ebooks - Physics and Astronomy (2015),,,3/1/2015,,,,,,,,,,,
SpringerLINK ebooks - Professional and Applied Computing (2015),,,3/1/2015,,,,,,,,,,,
SpringerOpen,,,2/1/2013,,,,,,,,,,,
Stat!Ref,,,,,,4/1/2015,,,,,,Stat!Ref (online collection). Ebooks,na varies per title,Only 3 of 16 titles have MARC records loaded
Synthesis Collection One,,,2/1/2012,,,,,,,,,,,
Synthesis Collection Three,,,2/1/2012,,,,,,,,,,,
Taylor & Francis eBooks,,,6/1/2016,,,,,,,,,,,
The Civil War: Part II: The Soldiers' Perspective,,5/1/2013,,,,,,,,,,,,SerSol records much less full than free vendor records. SerSol URL goes to database module top; free vendor record URLs go directly to book title
The Civil War: Part III: The Generals' Perspective,,5/1/2013,,,,,,,,,,,,SerSol records much less full than free vendor records. SerSol URL goes to database module top; free vendor record URLs go directly to book title
The Civil War: Part V: Iowa's Perspective,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). The Civil War: Iowa's perspective,Unlimited simultaneous users,
The Civil War: Part VI: Northeast Regimental Histories,3/1/2017,,,,,,,,,,,Accessible Archives (online collection). The Civil War: Northeast regimental histories,Unlimited simultaneous users,
Thieme Clinical Collections 2014,,,,,,11/1/2015,,,,,,Thieme clinical collections (online collection). 2014. E-books,Unlimited simultaneous users,
Thieme Clinical Collections 2015,,,,,,11/1/2015,,,,,,Thieme clinical collections (online collection). 2015. E-books,Unlimited simultaneous users,
Torrossa,,,4/1/2012,,,,,,,,,,,
Torrossa / Monografie (DFG Nationallizenzen),,,4/1/2012,,,,,,,,,,,
Twentieth Century North American Drama,,,10/1/2010,,,,,,,,,,,
United Nations Population Division Publications,1/1/2016,,,,,,,,,,,United Nations Population Division publications (online collection). Monographs,Unlimited simultaneous users,
University of Adelaide Press (Open Access),5/1/2015,,,,,,,,,,,University of Adelaide Press open access ebooks (online collection),Unlimited simultaneous users,
University Press Scholarship Online - Frontfile,,,7/1/2012,,,,,,,,,,,
UPCC Books 2016 Complete Collection,,,7/1/2016,,,,,,,,,,,The one title tracked in this database on 2016-07-11 was already title-by-title cataloged locally.
Wiley-Blackwell Current Protocols,,,,,,8/1/2014,,,,,,Wiley-Blackwell Current Protocols (online collection). Ebooks,na varies per title,
Wiley-Blackwell Online Reference Works,,,2/1/2012,,,,,,,,,,,
"Women and Social Movements in the United States, 1600-2000 (basic edition);;;Women and Social Movements in the United States, 1600-2000",,,10/1/2010,,,,,,,,,,,
Wordsworths: Collected Letters,,,9/1/2015,,,,,,,,,,,
World Health Organization Publications,,,,,,6/1/2010,,,,,,World Health Organization Publications (online collection). Ebooks,Unlimited simultaneous users,
Future Medicine,,,,,,,,4/1/2014,,,,,,Initially began loading 6/1/2013
McGraw-Hill Professional eBook Library - Medical: First Aid Test Prep;;;McGraw Hill Professional eBook Library- Medical: First Aid Prep,,,,,,5/1/2017,,,,,,McGraw-Hill Professional eBook Library - Medical: First Aid Test Prep (online collection),Unlimited simultaneous users,
MetPublications,,,,,5/1/2017,,,,,,,MetPublications ebooks (online collection),Unlimited simultaneous users,
