name,aalload,aalqual,aaldupe,aalpending,aaldrop,hslload,hsldupe,hsldrop,lawload,lawdupe,lawdrop,773title,506access,note
Business Expert Press eBooks 2011,,,3/1/2015,,,,,,,,,,,
Business Expert Press eBooks 2012,,,3/1/2015,,,,,,,,,,,
Business Source Complete,,1/1/2012,,,,,,,,,,,,
Business Source Premier,,1/1/2015,,,,,,,,,,Business source premiere (online collection),,
Cabell's Directory of Publishing Opportunities,,,6/1/2010,,,,,,,,,,,
CALI (Center for Computer-Assisted Legal Instruction),,,,,,,,,12/1/2011,,,CALI (Center for Computer-Assisted Legal Instruction) (online collection). Ebooks,Unlimited simultaneous users,
Cambridge Histories Online,,,7/1/2013,,,,,,,,,,,
Cambridge Histories Online 2013,,,3/1/2015,,,,,,,,,,,
Cambridge Histories Online 2014,,,3/1/2015,,,,,,,,,,,
Canadian Business & Current Affairs Database,3/1/2017,,,,,,,,,,,Canadian Business & Current Affairs Database (online collection). Ebooks,Unlimited simultaneous users,
Career & Technical Education Database;;;ProQuest Career and Technical Education,5/1/2016,,,,,,,,,,,ProQuest career and technical education (online collection). Ebooks,Unlimited simultaneous users,
Case Files Collection,,,,,,8/1/2016,,,,,,Case files collection (online collection). Ebooks,Unlimited simultaneous users,
CCH Law and Business Resources Research Network - Antitrust and Trade Regulation,,,,,,,,,,6/1/2010,,,,
Centers for Disease Control and Prevention,,,,,,6/1/2011,,,,,,Centers for Disease Control and Prevention (online collection). Ebooks,na varies per title,
CHEMnetBASE,,1/1/2014,,,,,,,,,,,,
"China: Trade, Politics and Culture, 1793-1980",,,2/1/2011,,,,,,,,,,,
CINAHL Plus with Full Text,,,,,,1/1/2015,,,,,,CINAHL plus (online collection). HSL,na varies per title,
ClinicalKey Flex;;;Clinical Key;;;ClinicalKey Books;;;ClinicalKey Books and Journals,,,,,,11/1/2012,,,,,,ClinicalKey Flex (online collection). Ebooks,Unlimited simultaneous users,
Columbia International Affairs Online Books,,,2/1/2011,,,,,,,,,,,
Communication & Mass Media Complete,6/6/2010,,,,,,,,,,,Communication & mass media complete ebooks (online collection),Limited to six (6) concurrent users,
Computing Database;;;ProQuest Computing,5/1/2015,,,,,,,,,,,ProQuest computing (online collection). Ebooks,Unlimited simultaneous users,
"Confidential Print: Middle East, 1839-1969",,,12/1/2011,,,,,,,,,,,
Continental Rationalists,,,9/1/2015,,,,,,,,,,,
"Counseling and Psychotherapy Transcripts, Client Narratives, and Reference Works",,,10/1/2010,,,,,,,,,,,
Criminal Justice Database;;;ProQuest Criminal Justice,5/1/2015,,,,,,,,,,,ProQuest criminal justice (online collection). Ebooks,Unlimited simultaneous users,
Daily Life through History(Academic),,,6/1/2015,,,,,,,,,,,
DBPIA,,10/1/2012,,,,,,,,,,,,
De Gruyter Online,,,3/1/2014,,,,,,,,,,,
Digital National Security Archive,,7/1/2014,,,,,,,,,,,,
Digital National Security Archive (DNSA),,,11/1/2015,,,,,,,,,,,
Digital South Asia Library,9/1/2013,,,,,,,,,,,Digital South Asia library (online collection). Ebooks,Unlimited simultaneous users,
Digitalia eBooks,,,7/1/2015,,,,,,,,,,,
DOAB: Directory of Open Access Books,5/1/2012,,,,,,,,,,,Directory of open access books (online collection),Unlimited simultaneous users,
DSM Legacy Collection,,,,,,4/1/2016,,,,,,DSM Legacy Collection (online collection). Ebooks,Unlimited simultaneous users,
Early Encounters in North America,,,9/1/2010,,,,,,,,,,,
Editoria Italiana Online Italian Studies (Italianistica);;;Editoria Italiano Online Italian Studies;;;Editoria Italiano Online Italian Studies (Italianistica);;;Editoria Italiana Online,,,,6/1/2010,,,,,,,,,,
EDP Open,,,,,,2/1/2015,,,,,,EDP Open (online collection). Ebooks,Unlimited simultaneous users,
Education Database;;;ProQuest Education Journals,5/1/2015,,,,,,,,,,,ProQuest education journals (online collection). Ebooks,Unlimited simultaneous users,
e-Duke Books Scholarly Collection 2008,,,7/1/2012,,,,,,,,,,,
e-Duke Books Scholarly Collection 2009,,,3/1/2015,,,,,,,,,,,
e-Duke Books Scholarly Collection 2010,,,3/1/2015,,,,,,,,,,,
e-Duke Books Scholarly Collection 2011,,,3/1/2015,,,,,,,,,,,
e-Duke Books Scholarly Collection 2012,,,3/1/2015,,,,,,,,,,,
e-Duke Books Scholarly Collection 2013,,,3/1/2015,,,,,,,,,,,
e-Duke Books Scholarly Collection 2015,,,3/1/2015,,,,,,,,,,,
Empire Online,6/1/2015,,,,,,,,,,,Empire online (online collection). Ebooks,Unlimited simultaneous users,
Entrepreneurial Studies Source,1/30/2015,,,,,,,,,,,Entrepreneurial studies source (online collection). Ebooks,Unlimited simultaneous users,
Entrepreneurship Database;;;Entrepreneurship,1/1/2015,,,,,,,,,,,Entrepreneurship (online collection). Ebooks,Unlimited simultaneous users,
Environment Complete,2/1/2012,,,,,,,,,,,Environment complete ebooks (online collection),Unlimited simultaneous users,
European Mathematical Society Publishing House e-Books,10/1/2014,,,,,,,,,,,European Mathematical Society ebooks (online collection),Unlimited simultaneous users,
Family Health Database;;;ProQuest Family Health,5/1/2015,,,,,,,,,,,ProQuest family health (online collection). Ebooks,Unlimited simultaneous users,
Film & Television Literature Index with Full Text,9/1/2010,,,,,,,,,,,Film & television literature index with full text (online collection),Limited to six (6) concurrent users,
First World War : Visual Perspectives and Narratives,6/1/2015,,,,,,,,,,,First World War (online collection). visual perspectives and narratives. Ebooks,Unlimited simultaneous users,
First World War: Personal Experiences,6/1/2015,,,,,,,,,,,First World War (online collection). Personal experiences. Ebooks,Unlimited simultaneous users,
First World War: Propaganda and Recruitment,6/1/2015,,,,,,,,,,,First World War (online collection). Propaganda and recruitment. Ebooks,Unlimited simultaneous users,
"Foreign Office Files for China, 1949-1980",,,12/1/2011,,,,,,,,,,,
Foundations and Trends in Business and Economics,4/1/2012,,,,,,,,,,,Foundations and trends in business and economics (online collection). Ebooks,Unlimited simultaneous users,
Foundations and Trends in Computer Science,3/1/2012,,,,,,,,,,,Foundations and trends in computer science (online collection). Ebooks,Unlimited simultaneous users,
Freely Accessible Japanese Titles,11/1/2016,,,,,,,,,,,Freely Accessible Japanese Titles (online collection). Ebooks,Unlimited simultaneous users,
Garland Encyclopedia of World Music Online,,,12/1/2011,,,,,,,,,,,
GenderWatch;;;GenderWatch - Legacy Platform;;;GenderWatch (Legacy Platform),,,,7/1/2010,,,,,,,,,,
GreenFILE,,12/1/2010,,,,,,,,,,,,
Handbook Series Package: Handbooks in Economics Series [BSHES];;;ScienceDirect Handbooks in Economics Series,1/1/2013,,,,,,,,,,,ScienceDirect Handbooks in Economics Series (online collection),Unlimited simultaneous users,
Harvard University Press 2014 eBooks,,,3/1/2015,,,,,,,,,,,
Health & Medical Collection;;;ProQuest Health & Medical Complete,,,,,,10/1/2015,,,,,,ProQuest Health & Medical Complete (online collection). Ebooks,Unlimited simultaneous users,
Health Management Database;;;ProQuest Health Management,5/1/2015,,,,,,,,,,,ProQuest health management (online collection). Ebooks,Unlimited simultaneous users,
Health Source: Consumer Edition,,,,,,6/1/2010,,,,,,Health Source: Consumer Edition (online collection). Ebooks,Unlimited simultaneous users,
Health Source: Nursing/Academic Edition,,,,,,9/1/2015,,,,,,Health Source: Nursing/Academic Edition (online collection). Ebooks,Unlimited simultaneous users,no SerSol ebook titles or MARC
HeinOnline American Association of Law Libraries (AALL),,,,,,,,,8/1/2016,,,HeinOnline American Association of Law Libraries (AALL) (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline American Bar Association Journals,,,,,,,,,2/1/2015,,,HeinOnline American Bar Association Journals (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Association of American Law Schools (AALS),,,,,,,,,3/1/2017,,,HeinOnline Association of American Law Schools (AALS) (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Canada Supreme Court Reports,,,,,,,,,8/1/2016,,,HeinOnline Canada Supreme Court Reports (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Early American Case Law,,,,,,,,,8/1/2014,,,HeinOnline Early American Case Law (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline English Reports,,,,,,,,,6/1/2010,,,HeinOnline English Reports (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline European Center for Minority Issues,,,,,,,,,1/1/2015,,,HeinOnline European Center for Minority Issues (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Federal Register Library,,,,,,,,,1/1/2015,,,HeinOnline Federal Register Library (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Foreign Relations of the United States,,,,,,,,,2/1/2015,,,HeinOnline Foreign Relations of the United States (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Harvard Research in International Law,,,,,,,,,4/1/2012,,,HeinOnline Harvard Research in International Law (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Parker School of Foreign & Comparative Law Publications,,,,,,,,,1/1/2015,,,HeinOnline Parker School of Foreign & Comparative Law Publications (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Pentagon Papers,,,,,,,,,8/1/2014,,,HeinOnline Pentagon Papers (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Philip C. Jessup Library,,,,,,,,,1/1/2015,,,HeinOnline Philip C. Jessup Library (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Revised Statutes of Canada,,,,,,,,,1/1/2015,,,HeinOnline Revised Statutes of Canada (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline State Statutes: A Historical Archive,,,,,,,,,1/1/2015,,,HeinOnline State Statutes: A Historical Archive (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline Subject Compilation of State Laws,,,,,,,,,1/1/2015,,,HeinOnline Subject Compilation of State Laws (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline U.S. Attorney General & Department of Justice Collection;;;HeinOnline U.S. Attorney General Opinions,,,,,,,,,2/1/2015,,,HeinOnline U.S. Attorney General & Department of Justice Collection (online collection). Ebooks,Unlimited simultaneous users,
"HeinOnline U.S. Federal Agency Documents, Decisions, and Appeals",,,,,,,,,3/1/2012,,,"HeinOnline U.S. Federal Agency Documents, Decisions, and Appeals (online collection). Ebooks",Unlimited simultaneous users,
HeinOnline U.S. Presidential Library,,,,,,,,,7/1/2012,,,HeinOnline U.S. Presidential Library (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline U.S. Statutes at Large,,,,,,,,,1/1/2015,,,HeinOnline U.S. Statutes at Large (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline U.S. Supreme Court Library,,,,,,,,,6/1/2010,,,HeinOnline U.S. Supreme Court Library (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline U.S. Treaties and Agreements Library;;;HeinOnline Treaties and Agreements Library,,,,,,,,,7/1/2012,,,HeinOnline Treaties and Agreements Library (online collection). Ebooks,Unlimited simultaneous users,
HeinOnline United States Code,,,,,,,,,9/1/2010,,,HeinOnline United States Code (online collection). Ebooks,Unlimited simultaneous users,
Henry Stewart Talks: Biomedical & Life Sciences Collection,,,,,,4/1/2017,,,,,,Henry Stewart Talks (online collection). Biomedical & Life Sciences Collection. Full,Unlimited simultaneous users,
Hindawi Publishing Open Access,7/1/2011,,,,,,,,,,,Hindawi Publishing open access ebooks (online collection),Unlimited simultaneous users,
IARC Monographs on the Evaluation of Carcinogenic Risks to Humans,,,,,,6/1/2010,,,,,,IARC Monographs on the Evaluation of Carcinogenic Risks to Humans (online collection). Ebooks,Unlimited simultaneous users,
IEEE Xplore All Conference Proceedings,4/1/2017,,,,,,,,,,,IEEE Xplore (online collection). Conference Proceedings,Limited to seventy-five (75) concurrent users,
IEEE Xplore All Standards,4/1/2017,,,,,,,,,,,IEEE Xplore (online collection). Standards,Limited to seventy-five (75) concurrent users,
Illustrated Civil War Newspapers and Magazines,,,,9/1/2010,,,,,,,,,,
InfoTrac Newsstand,6/1/2014,,,,,,,,,,,InfoTrac Newsstand (online collection). Ebooks,Unlimited simultaneous users,
International Agency for Research on Cancer (IARC),,,,,,4/1/2016,,,,,,International Agency for Research on Cancer (IARC) (online collection). Ebooks,Unlimited simultaneous users,
Iter: Gateway to the Middle Ages and Renaissance,9/1/2015,,,,,,,,,,,Iter: gateway to the middle ages and renaissance (online collection). Ebooks,,
JapanKnowledge Plus,,12/1/2011,,,,,,,,,,,,
"Jewish Life in America, c1654-1954",,12/1/2011,,,,,,,,,,,,
King James Bible(UK),,,12/1/2011,,,,,,,,,,,
Knowledge Unlatched Pilot Collection,5/1/2014,,,,,,,,,,,Knowledge unlatched (online collection). Pilot collection,Unlimited simultaneous users,
Knowledge Unlatched Round 2,3/1/2017,,,,,,,,,,,Knowledge unlatched (online collection). Round 2,Unlimited simultaneous users,
KRpia,,,,3/1/2011,,,,,,,,,,3 recs were loaded. Since deleted. oops
"Latino Literature: Poetry, Drama, and Fiction;;;Latino Literature",,,9/1/2010,,,,,,,,,,,
Learning Express E-books,,9/1/2013,,,,,,,,,,,,
LegalTrac,,,,,,8/1/2015,,,,,,LegalTrac (online collection),Unlimited simultaneous users,
LexisNexis Academic,6/1/2016,,,,,,,,,,,LexisNexis Academic (online collection). Ebooks,Unlimited simultaneous users,
Library Science Database,3/1/2017,,,,,,,,,,,Library Science Database (online collection). Ebooks,Unlimited simultaneous users,
"Library, Information Science & Technology Abstracts (LISTA) with Full Text",1/1/2012,,,,,,,,,,,"Library, information science & technology abstracts ebooks (online collection)",Unlimited simultaneous users,
Literary Reference Center Plus,1/1/2012,,,,,,,,,,,Literary reference center plus ebooks (online collection),Unlimited simultaneous users,
Literature Online (LION),,,6/1/2010,,,,,,,,,,,
Literature Resource Center,4/1/2012,,,,,,,,,,,Literature resource center (online collection),Unlimited simultaneous users,
LLMC-Digital,,,,,,,,,3/1/2014,,,LLMC-Digital (online collection). Ebooks,Unlimited simultaneous users,
Loeb Classical Library,,,9/1/2015,,,,,,,,,,,
Lyell Collection,,,6/1/2010,,,,,,,,,,,
Making of America Books,6/8/2010,,,,,,,,,,,Making of America ebooks (online collection),Unlimited simultaneous users,
MAS Ultra - School Edition,,6/1/2010,,,,,,,,,,,,
"Mass Media in Russia, 1908-1918",3/1/2014,,,,,,,,,,,"Mass media in Russia, 1908-1918 (online collection). Ebooks",Limited to three (3) concurrent users ,
MasterFILE Premier,,6/1/2010,,,,,,,,,,,,
Mathematical Surveys and Monographs - Backfile,,,3/1/2015,,,,,,,,,,,
McGraw-Hill Professional eBook Library - Medical;;;McGraw Hill Professional e-Book Collection – Medical,,,,,,9/1/2015,,,,,,McGraw-Hill Professional eBook Library - Medical (online collection),Unlimited simultaneous users,
MedCalc 3000,,,,,,6/1/2015,,,,,,MedCalc 3000 (online collection). Ebooks,Limited to ten (10) concurrent users,no SerSol MARC. 1 title (type = other) available in tracked collection
Medical Letter Online,,,,,,3/1/2014,,,,,,Medical Letter Online (online collection). Ebooks,Unlimited simultaneous users,no SerSol MARC
Middle Search Plus,,6/1/2010,,,,,,,,,,,,
Military & Government Collection,,6/1/2010,,,,,,,,,,,,
Military Database;;;ProQuest Military Collection,5/1/2015,,,,,,,,,,,ProQuest military collection (online collection). Ebooks,Unlimited simultaneous users,
MLA Literary Research Guide,,,3/1/2015,,,,,,,,,,,
Modern Language Association Journals,,4/1/2016,,,,,,,,,,,,
Music Periodicals Database;;;Music Database;;;Intl Index Music Periodicals Full Text;;;International Index to Music Periodicals (IIMP) Full Text,9/1/2015,,,,,,,,,,,International Index to Music Periodicals (IIMP) Full Text (online collection). Ebooks,Unlimited simultaneous users,
National Academies Press Free eBooks;;;National Academies Press Publications,8/1/2012,,,,,,,,,,,National Academies Press ebooks (online collection),Unlimited simultaneous users,
National Academies Press Paid Publications,,,2/1/2015,,,,,,,,,,,We don't have this content. Should receive as deletes later. 
NBER Working Papers,,,12/1/2012,,,,,,,,,,,
Nineteenth-Century Fiction;;;Ninteenth-Century Fiction,,,2/1/2011,,,,,,,,,,,
"North American Immigrant Letters & Diaries;;;North American Immigrant Letters, Diaries, and Oral Histories",,,9/1/2010,,,,,,,,,,,
North American Indian Drama,,,9/1/2010,,,,,,,,,,,
North American Women's Letters and Diaries,,,9/1/2010,,,,,,,,,,,
Nursing & Allied Health Database;;;ProQuest Nursing & Allied Health Source,,,,,,2/1/2015,,,,,,ProQuest Nursing & Allied Health Source (online collection). Ebooks,na varies per title,
OAPEN,1/1/2011,,,,,,,,,,,OAPEN ebooks (online collection),Unlimited simultaneous users,
OECD iLibrary,2/1/2011,,,,,,,,,,,OECD iLibrary (online collection),Unlimited simultaneous users,
Oncology Nursing Society,,,,,,8/1/2016,,,,,,Oncology Nursing Society (online collection). Ebooks,Unlimited simultaneous users,
Oxford Art Online,6/10/2010,,,,,,,,,,,Oxford Art Online ebooks (online collection),Limited to three (3) concurrent users ,
Oxford Bibliographies Online,,,1/1/2017,,,,,,,,,,,
Oxford Digital Reference Shelf,,,8/1/2011,,,,,,,,,,,
Oxford Handbooks Online,,,9/1/2010,,,,,,,,,,,
Oxford Handbooks Online 2015,,,3/1/2015,,,,,,,,,,,
Oxford Handbooks Online Business and Management,,,3/1/2015,,,,,,,,,,,
Oxford Handbooks Online Philosophy,,,3/1/2015,,,,,,,,,,,
Oxford Handbooks Online Political Science,,,3/1/2015,,,,,,,,,,,
Oxford Handbooks Online Religion,,,3/1/2015,,,,,,,,,,,
Oxford Islamic Studies Online,,,,5/1/2011,,,,,,,,,,
Oxford Medicine Online;;;Oxford Medicine,,,,,,6/1/2015,,,,,,Oxford medicine online (online collection),Limited to three (3) concurrent users,
Oxford Music Online,,,2/1/2011,,,,,,,,,,,
Oxford Reference Online: Digital Reference Shelf,,,9/1/2010,,,,,,,,,,,
Oxford Reference Online: Premium,,,10/1/2010,,,,,,,,,,,
Oxford Reports on International Law,,,,,,,,,3/1/2014,,,Oxford Reports on International Law (online collection). Ebooks,Unlimited simultaneous users,
Oxford Scholarly Editions Online - Early Seventeenth Century Drama,,,1/1/2013,,,,,,,,,,,
Oxford Scholarly Editions Online - Early Seventeenth Century Prose,,,1/1/2013,,,,,,,,,,,
Oxford Scholarly Editions Online - Early Seventeenth Poetry;;;Oxford Scholarly Editions Online - Early Seventeenth Century Verse,,,1/1/2013,,,,,,,,,,,
Oxford Scholarly Editions Online - Eighteenth Century Drama,,,3/1/2015,,,,,,,,,,,
Oxford Scholarly Editions Online - Eighteenth Century Poetry,,,3/1/2015,,,,,,,,,,,
Oxford Scholarly Editions Online - Eighteenth Century Prose,,,3/1/2015,,,,,,,,,,,
Oxford Scholarly Editions Online - Renaissance Drama,,,1/1/2013,,,,,,,,,,,
Oxford Scholarly Editions Online - Renaissance Poetry;;;Oxford Scholarly Editions Online - Restoration Verse,,,3/1/2015,,,,,,,,,,,
Oxford Scholarly Editions Online - Renaissance Prose,,,1/1/2013,,,,,,,,,,,
Oxford Scholarly Editions Online - Renaissance Verse,,,1/1/2013,,,,,,,,,,,
Oxford Scholarly Editions Online - Restoration Drama,,,3/1/2015,,,,,,,,,,,
Oxford Scholarly Editions Online - Restoration Prose,,,3/1/2015,,,,,,,,,,,
Oxford Scholarly Editions Online - Shakespeare,,,1/1/2013,,,,,,,,,,,
Oxford Scholarship Online,,,9/1/2012,,,,,,,,,,,
Patrologia Latina Database,,,,11/1/2011,,,,,,,,,,
"Perdita Manuscripts: Women Writers, 1500-1700",,3/1/2011,,,,,,,,,,,,
Points of View Reference Center,7/1/2013,,,,,,,,,,,Points of view reference center (online collection),Unlimited simultaneous users,
